mca_preliminary_rank,company_name,latest_financial_year,total_wash_spend_crore,total_water_spend_crore,total_sanitation_spend_crore,states,nse_annual_report_status,bse_disclosure_status,csr_policy_status,brsr_status,latest_document_year,document_url,retrieved_on,ai_analysis_status
413,VISAKHA PHARMACITY LIMITED,FY2024-25,0.3826104999999999,0.3826104999999999,0.0,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
414,EUREKA FORBES LTD,FY2020-21,2.1332,2.1332,0.0,"Maharashtra, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
415,L&T VALVES LIMITED,FY2022-23,1.0793955,0.0886,0.9907955,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
416,ROTORK CONTROLS (INDIA) PRIVATE LIMITED,FY2024-25,0.349,0.121,0.2279999999999999,"Karnataka, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
417,GRAPHITE INDIA LIMITED,FY2024-25,0.469524,0.07,0.399524,"Maharashtra, Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
418,INDO- NATIONAL LIMITED,FY2024-25,0.2636721,0.2325914,0.0310807,"Andhra Pradesh, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
419,SUVEN PHARMACEUTICALS LIMITED,FY2022-23,0.6946882999999999,0.6946882999999999,0.0,Telangana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
420,VOLVO GROUP INDIA PRIVATE LIMITED,FY2024-25,0.572001,0.572001,0.0,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
421,LOHIA CORP LIMITED,FY2022-23,0.7755796,0.4680556,0.307524,Uttar Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
422,BORGWARNER MORSE SYSTEMS INDIA PRIVATE LIMITED,FY2024-25,0.5305774,0.1542031999999999,0.3763742,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
423,STEEL AUTHORITY OF INDIA LIMITED,FY2023-24,31.21,31.21,0.0,Pan India,PENDING,PENDING,PENDING,PENDING,,,,PENDING
424,INDIA GAS SOLUTIONS PRIVATE LIMITED,FY2024-25,2.91285,2.91285,0.0,Gujarat,PENDING,PENDING,PENDING,PENDING,,,,PENDING
425,MASTEK LIMITED,FY2024-25,0.5990122,0.12,0.4790122,"Haryana, Maharashtra, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
426,DECCAN CEMENTS LIMITED,FY2024-25,0.3902962,0.0878232,0.302473,Telangana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
427,GREEN GAS LIMITED,FY2023-24,0.7379877,0.0567876999999999,0.6812,Uttar Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
428,HOUSING DEVELOPMENT FINANCE CORPORATIONLIMITED,FY2020-21,25.36138,11.73,13.63138,Pan India,PENDING,PENDING,PENDING,PENDING,,,,PENDING
429,JAI GIRIRAJ RICE AND AGRO MILLS PRIVATE LIMITED,FY2023-24,0.41,0.1699999999999999,0.24,Madhya Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
430,CHENNAI ENVIRO SOLUTIONS PRIVATE LIMITED,FY2024-25,0.381509,0.3020763999999999,0.0794326,"Maharashtra, Tamil Nadu, Telangana, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
431,MALLADI DRUGS AND PHARMACEUTICALS LIMITED,FY2023-24,0.7893899999999999,0.74691,0.04248,"Andhra Pradesh, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
432,AIA ENGINEERING LIMITED,FY2024-25,0.6,0.45,0.15,Gujarat,PENDING,PENDING,PENDING,PENDING,,,,PENDING
433,FRANKLIN TEMPLETON INTERNATIONAL SERVICES (INDIA )PRIVATE LIMITED,FY2022-23,1.268424,1.268424,0.0,Telangana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
434,MEDICARE ENVIRONMENTAL MANAGEMENT PRIVATE LIMITED,FY2024-25,0.259226,0.2114049,0.0478211,"Karnataka, Punjab, Telangana, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
435,NAVA BHARAT VENTURES LIMITED,FY2020-21,0.8021,0.6903,0.1118,"Andhra Pradesh, Odisha, Telangana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
436,SHRI JAGANNATH STEELS & POWER LIMITED,FY2024-25,0.352875301,0.352875301,0.0,Odisha,PENDING,PENDING,PENDING,PENDING,,,,PENDING
437,MITSUBISHI ELECTRIC INDIA PRIVATE LIMITED,FY2021-22,0.9726,0.9726,0.0,"Delhi, Gujarat, Haryana, Karnataka, Madhya Pradesh, Maharashtra, Punjab, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
438,SAPALA ORGANICS PRIVATE LIMITED,FY2024-25,0.5381182,0.5381182,0.0,Telangana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
439,CHHATTISGARH STATE POWER GENERATION COMPANY LIMITED,FY2021-22,2.6016419,2.1216419,0.48,Chhattisgarh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
440,MEWAR POLYTEX LIMITED,FY2024-25,0.5216593,0.5216593,0.0,Rajasthan,PENDING,PENDING,PENDING,PENDING,,,,PENDING
