"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"Aurobindo Pharma Ltd","FY 2014-15",Non-PSU,Telangana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.25
"Balasore Alloys Limited","FY 2014-15",Non-PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.15
"T S Alloys Limited","FY 2014-15",Non-PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Larsen And Toubro Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.13
"Messe Frankfurt Trade Fairs India Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Messe Frankfurt Trade Fairs India Private Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Sesa Mining Corporation Limited","FY 2014-15",Non-PSU,Goa,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"C R I Pumps Private Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.07
"Globally Managed Services India Private Limited","FY 2014-15",Non-PSU,Assam,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.2
"Paradeep Phosphates Ltd","FY 2014-15",Non-PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.23
"Tata Housing Development Company Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.5
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.09
"Adtech Systems Limited","FY 2014-15",Non-PSU,Kerala,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.11
"Praj Industries Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Exide Industries Limited","FY 2014-15",Non-PSU,"West Bengal","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Aircel Cellular Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Chd Developers Limited","FY 2014-15",Non-PSU,Haryana,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.13
"Deffree Engineering Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Bi Worldwide India Private Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Manugraph India Limited","FY 2014-15",Non-PSU,"Jammu And Kashmir","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Tata Aig General Insurance Company Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Exevo India Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"U A E Exchange And Financial Services Limited","FY 2014-15",Non-PSU,Kerala,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Stock Holding Corporation Of India Limited","FY 2014-15",PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.27
"Mahindra World City (Jaipur) Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Exevo India Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Mitsubishi Heavy Industries-Vst Diesel Engines Private Limited","FY 2014-15",Non-PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Synthite Industries Limited","FY 2014-15",Non-PSU,Kerala,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Tube Investments Of India Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
